age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_strk,ylds_rate_strk,dw_adj_strk,prevalence_strk,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
20,female,20_female,0,0,0.09884410389374985,0,7.329214889649683e-5,0,0,0,2.3912962219529508e-4,0,0,0,1.0284947819705119e-4,0,0,0,7.120785117989974e-4,0,0,0.011887567159795678,1.752420075032427e-4,0,0.0034235949927146686,0.0016581897711067722,0,0,0,0,0.016784185716507263,1.8214564139770961e-4,0,0,0,0
21,female,21_female,0,0,0.10228282699952572,0,8.791969804730447e-5,0,0,0,2.511714840940821e-4,0,0,0,1.1213368744124842e-4,0,0,0,8.054509534890584e-4,0,0,0.011103803107930542,1.8420981830865292e-4,0,0.003079495346771524,0.0017324674641846557,0,0,0,0,0.016326737812390663,1.9282447998336254e-4,0,0,0,0
22,female,22_female,2156961.3717005067,0,0.10564530227939363,0,1.0292548950000002e-4,0,0,0,2.644166550379e-4,0,0,0,1.2181589629999994e-4,0,0,0,9.039723637000003e-4,0,0,0.010388524164392721,1.9332453104696102e-4,0,0.0027836976397310285,0.0018019708096292503,0,0,0,0,0.015882261942235288,2.0387370270887024e-4,0,0,0,0
23,female,23_female,0,0,0.10893739229523061,0,1.1709948413310147e-4,0,0,0,2.7917117600269727e-4,0,0,0,1.3173914072650008e-4,0,0,0,0.0010046805925930107,0,0,0.009734676399864906,2.0264849477102394e-4,0,0.0025317498531580327,0.001865355327201662,0,0,0,0,0.015450531391170778,2.1517880288025998e-4,0,0,0,0
24,female,24_female,0,0,0.11220518639527094,0,1.3037928345006907e-4,0,0,0,2.954168100637777e-4,0,0,0,1.4197639987869739e-4,0,0,0,0.0011082244474432761,0,0,0.009133691149590836,2.122705201066364e-4,0,0.00231733927304482,0.0019271864513350793,0,0,0,0,0.015046674280057864,2.2680264352509667e-4,0,0,0,0
25,female,25_female,0,0,0.1154070530780333,0,1.4295615703537737e-4,0,0,0,3.1301131194933656e-4,0,0,0,1.526842495356749e-4,0,0,0,0.0012168199879360687,0,0,0.008587743971334914,2.222975703370063e-4,0,0.0021325346319769145,0.0019914843755676082,0,0,0,0,0.014660515027471524,2.3882445531285345e-4,0,0,0,0
26,female,26_female,0,0,0.1184975924768862,0,1.5533055950807745e-4,0,0,0,3.3175876284439055e-4,0,0,0,1.640723274768546e-4,0,0,0,0.0013338158687593795,0,0,0.00809783978279489,2.3284713836412395e-4,0,0.0019763398519068525,0.002060241970713559,0,0,0,0,0.014271866947231,2.510087481199585e-4,0,0,0,0
27,female,27_female,2309013.2582349647,0,0.12142797421454449,0,1.683022083999999e-4,0,0,0,3.5139829939999996e-4,0,0,0,1.7641102945099998e-4,0,0,0,0.0014638898615573995,0,0,0.007657568665219567,2.4406968990911635e-4,0,0.0018450106803002912,0.0021364465055815117,0,0,0,0,0.013904498927601983,2.635203516365702e-4,0,0,0,0
28,female,28_female,0,0,0.12413363972555677,0,1.8129500270744033e-4,0,0,0,3.719519902261698e-4,0,0,0,1.9004651978406795e-4,0,0,0,0.0016083661211811686,0,0,0.007269166161028669,2.5643809091295273e-4,0,0.0017336448852931278,0.002219127303908894,0,0,0,0,0.013533421032406644,2.7615488972566134e-4,0,0,0,0
29,female,29_female,0,0,0.12662094533539595,0,1.9334468103864198e-4,0,0,0,3.937004125106433e-4,0,0,0,2.0494958786639167e-4,0,0,0,0.0017655393150715775,0,0,0.006917813736276791,2.698648132376429e-4,0,0.0016408874519129929,0.002311131647167725,0,0,0,0,0.013175478868245563,2.891407696485618e-4,0,0,0,0
30,female,30_female,0,0,0.12895041130844856,0,2.0507023828813696e-4,0,0,0,4.1671963090684263e-4,0,0,0,2.207981220500001e-4,0,0,0,0.0019368871295817203,0,0,0.0066068493158849065,2.8494736008809597e-4,0,0.0015640799190847928,0.002413346189415585,0,0,0,0,0.012824530739554595,3.024351630347476e-4,0,0,0,0
31,female,31_female,0,0,0.13118882002492696,0,2.1730548485677246e-4,0,0,0,4.410913204870216e-4,0,0,0,2.3714455362868254e-4,0,0,0,0.0021241449969728755,0,0,0.0063281889525841385,3.0184996126486326e-4,0,0.0015000509104535259,0.002528615284862018,0,0,0,0,0.012489992283539234,3.162212628093744e-4,0,0,0,0
32,female,32_female,2113990.8319368134,0,0.13340853950457032,0,2.3110536059999987e-4,0,0,0,4.6690323419999985e-4,0,0,0,2.534011866000001e-4,0,0,0,0.0023293535500000006,0,0,0.0060815112158082935,3.208999017699196e-4,0,0.0014479761290877666,0.002653368344322576,0,0,0,0,0.012181203792128524,3.3065432008561643e-4,0,0,0,0
33,female,33_female,0,0,0.1355986914576406,0,2.4688082202737666e-4,0,0,0,4.945789527885367e-4,0,0,0,2.687152368122046e-4,0,0,0,0.002555826483963942,0,0,0.005861451159950487,3.426055631552332e-4,0,0.0014045684661331305,0.002785539358911045,0,0,0,0,0.011883910192369417,3.458195102444032e-4,0,0,0,0
34,female,34_female,0,0,0.1377025243353269,0,2.641112731762001e-4,0,0,0,5.242637789967312e-4,0,0,0,2.8317740413064753e-4,0,0,0,0.002805388659450351,0,0,0.005663871387675562,3.673707698399974e-4,0,0.0013693634972368287,0.002926684778431792,0,0,0,0,0.011614536231637489,3.616905020420329e-4,0,0,0,0
