sex_age_cat,case_fatality_copd,incidence_copd,remission_copd,case_fatality_dmt2.x,incidence_dmt2.x,remission_dmt2.x,case_fatality_dmt2.y,incidence_dmt2.y,remission_dmt2.y,case_fatality_ishd.x,incidence_ishd.x,remission_ishd.x,case_fatality_ishd.y,incidence_ishd.y,remission_ishd.y
male_4,NA,NA,NA,NA,NA,NA,0.05068415451196948,6.694139710015898e-5,0,NA,NA,NA,0.03159934130632823,7.472249250557438e-5,0
male_5,NA,NA,NA,NA,NA,NA,0.04194206645652761,9.739027129228662e-5,0,NA,NA,NA,0.030573606230855102,7.994598659582607e-5,0
male_6,NA,NA,NA,NA,NA,NA,0.03458219667639407,1.396009607899254e-4,0,NA,NA,NA,0.029575273334881153,8.551648839463116e-5,0
male_7,NA,NA,NA,NA,NA,NA,0.02856548233395792,1.9620514278746108e-4,0,NA,NA,NA,0.028573602772304398,9.144116963090755e-5,0
male_8,NA,NA,NA,NA,NA,NA,0.023572966401444413,2.7113788708193554e-4,0,NA,NA,NA,0.02764012741791639,9.787167146479842e-5,0
male_9,NA,NA,NA,NA,NA,NA,0.019405703437052446,3.6641849997509857e-4,0,NA,NA,NA,0.026724827086394932,1.0465186291826631e-4,0
male_10,NA,NA,NA,NA,NA,NA,0.015951120325066813,4.84205276224859e-4,0,NA,NA,NA,0.025781197061088466,1.1206444451022265e-4,0
male_11,NA,NA,NA,NA,NA,NA,0.013131578994155253,6.252756528489344e-4,0,NA,NA,NA,0.024869421795271178,1.1994217876111333e-4,0
male_12,NA,NA,NA,NA,NA,NA,0.010794598367662705,7.851804691426687e-4,0,NA,NA,NA,0.02401072762182442,1.282593006868161e-4,0
male_13,NA,NA,NA,NA,NA,NA,0.008871302159528303,9.608973501343552e-4,0,NA,NA,NA,0.023164422166498846,1.37224676366833e-4,0
male_14,NA,NA,NA,NA,NA,NA,0.0073165863854680255,0.0011471070814427966,0,NA,NA,NA,0.02235881534238235,1.4662699197798856e-4,0
male_15,NA,NA,NA,NA,NA,NA,0.006049728710804905,0.0013357058931823174,0,NA,NA,NA,0.021563515578328932,1.5649448520535793e-4,0
male_16,NA,NA,NA,NA,NA,NA,0.005023269584959721,0.0015201799531955051,0,NA,NA,NA,0.02080614102145767,1.667727531041179e-4,0
male_17,NA,NA,NA,NA,NA,NA,0.004196416603796109,0.001693362110850638,0,NA,NA,NA,0.020104635632075006,1.7752117137259578e-4,0
male_18,NA,NA,NA,NA,NA,NA,0.003534788745403871,0.0018498887458381387,0,NA,NA,NA,0.019454325996619913,1.8866554715037088e-4,0
male_19,NA,NA,NA,NA,NA,NA,0.0030042825798274955,0.001987591553613678,0,NA,NA,NA,0.018854117121736083,2.001249832691066e-4,0
male_20,NA,NA,NA,NA,NA,NA,0.00258166151908074,0.002105616045153894,0,NA,NA,NA,0.018294458841546152,2.1197203440481748e-4,0
male_21,NA,NA,NA,NA,NA,NA,0.0022463897771869386,0.0022069387000667406,0,NA,NA,NA,0.01781125918148178,2.2427702804702834e-4,0
male_22,NA,NA,NA,NA,NA,NA,0.0019794357142584136,0.002294129639398643,0,NA,NA,NA,0.01737980685951275,2.3670375854537219e-4,0
male_23,NA,NA,NA,NA,NA,NA,0.0017670536138791816,0.002370707041823122,0,NA,NA,NA,0.01701238706310894,2.496285497462712e-4,0
male_24,NA,NA,NA,NA,NA,NA,0.0016006425717589171,0.002439718557398813,0,NA,NA,NA,0.016709394904897007,2.630818201736431e-4,0
male_25,NA,NA,NA,NA,NA,NA,0.0014712583371549576,0.0025068824392179808,0,NA,NA,NA,0.016458457399207215,2.7712227699409637e-4,0
male_26,NA,NA,NA,NA,NA,NA,0.0013719674584693063,0.002574007954259543,0,NA,NA,NA,0.016267533579030585,2.9166369582380906e-4,0
male_27,NA,NA,NA,NA,NA,NA,0.0012976340406332188,0.0026449425244366616,0,NA,NA,NA,0.016139069442573567,3.0711227432023933e-4,0
male_28,NA,NA,NA,NA,NA,NA,0.0012444667204391956,0.002725198643817125,0,NA,NA,NA,0.01605836508841601,3.236158502247508e-4,0
male_29,NA,NA,NA,NA,NA,NA,0.0012092450930989954,0.00281231647257092,0,NA,NA,NA,0.016038763065246927,3.4135877384451087e-4,0
male_30,NA,NA,NA,NA,NA,NA,0.001189746101638865,0.0029141979775887793,0,NA,NA,NA,0.016063524942136122,3.60672239996927e-4,0
male_31,NA,NA,NA,NA,NA,NA,0.001182988005625097,0.0030263082886374283,0,NA,NA,NA,0.016147130262992367,3.820246875204301e-4,0
male_32,NA,NA,NA,NA,NA,NA,0.0011873546860220472,0.0031518774251973612,0,NA,NA,NA,0.01628615652047062,4.0554994998197617e-4,0
male_33,NA,NA,NA,NA,NA,NA,0.0012003861506567487,0.0032920182528832368,0,NA,NA,NA,0.016463012106577336,4.324397076609481e-4,0
male_34,NA,NA,NA,NA,NA,NA,0.0012209594880042015,0.003444746466726584,0,NA,NA,NA,0.016687257337226223,4.628602481001894e-4,0
male_35,NA,NA,NA,NA,NA,NA,0.0012473523873506003,0.003609834260356896,0,NA,NA,NA,0.016965787573781928,4.976524414551796e-4,0
male_36,NA,NA,NA,NA,NA,NA,0.0012775139490293144,0.0037859805464429555,0,NA,NA,NA,0.01729126258344034,5.372138801366733e-4,0
male_37,NA,NA,NA,NA,NA,NA,0.0013093142368249956,0.003973157181213089,0,NA,NA,NA,0.017651542801013272,5.82965399124875e-4,0
male_38,NA,NA,NA,NA,NA,NA,0.0013410499163509554,0.004166550851348214,0,NA,NA,NA,0.018055676748486287,6.361856698987834e-4,0
male_39,NA,NA,NA,NA,NA,NA,0.0013713343399484861,0.004361591348460577,0,NA,NA,NA,0.018489108998713033,6.981655851302445e-4,0
male_40,NA,NA,NA,NA,NA,NA,0.0013988230103045864,0.004560401148386298,0,NA,NA,NA,0.018964743754714415,7.70075695431312e-4,0
male_41,NA,NA,NA,NA,NA,NA,0.0014221696631976954,0.004757786207737693,0,NA,NA,NA,0.019462429063289512,8.532727068684453e-4,0
male_42,NA,NA,NA,NA,NA,NA,0.0014410301387490808,0.004948035578465825,0,NA,NA,NA,0.019990179033680524,9.495119021466142e-4,0
male_43,NA,NA,NA,NA,NA,NA,0.0014540768419554308,0.005133442837212829,0,NA,NA,NA,0.020542445422606095,0.0010609462874701047,0
male_44,NA,NA,NA,NA,NA,NA,0.0014629732574003847,0.005308950211467101,0,NA,NA,NA,0.0211248451834516,0.0011898633486090735,0
male_45,NA,NA,NA,NA,NA,NA,0.0014671647821168587,0.005473101243339128,0,NA,NA,NA,0.02174084833050649,0.0013364702799539404,0
male_46,NA,NA,NA,NA,NA,NA,0.0014690437299304498,0.005623980593638211,0,NA,NA,NA,0.022359734024814795,0.0015041819472001413,0
male_47,NA,NA,NA,NA,NA,NA,0.0014686211587778791,0.0057588393749127605,0,NA,NA,NA,0.022999083424692097,0.001694399275979097,0
male_48,NA,NA,NA,NA,NA,NA,0.0014685720098413031,0.005876110057336141,0,NA,NA,NA,0.023665874363911397,0.0019083011149789134,0
male_49,NA,NA,NA,NA,NA,NA,0.00146984382284284,0.005982199846997431,0,NA,NA,NA,0.024340277195305647,0.00214662456943447,0
male_50,NA,NA,NA,NA,NA,NA,0.0014742158684293502,0.006070196652361087,0,NA,NA,NA,0.02502766554541099,0.002410906298688096,0
male_51,NA,NA,NA,NA,NA,NA,0.001483342361970448,0.0061460693837835124,0,NA,NA,NA,0.025722173386506165,0.0026990579177760057,0
male_52,NA,NA,NA,NA,NA,NA,0.0014985660816332902,0.006204377032561246,0,NA,NA,NA,0.026439188496486358,0.003011038528998349,0
male_53,NA,NA,NA,NA,NA,NA,0.0015221525137218317,0.006249024208097438,0,NA,NA,NA,0.027166175188337756,0.003344106471324804,0
male_54,NA,NA,NA,NA,NA,NA,0.001554630565057591,0.006284238457106937,0,NA,NA,NA,0.027905907360378172,0.003696662324629219,0
male_55,NA,NA,NA,NA,NA,NA,0.001597921328468537,0.0063073333708406915,0,NA,NA,NA,0.028648996368331788,0.00406654173048338,0
male_56,NA,NA,NA,NA,NA,NA,0.0016533871521310821,0.006320797641389282,0,NA,NA,NA,0.02940566196991074,0.004443543452236742,0
male_57,NA,NA,NA,NA,NA,NA,0.0017223453751872373,0.00632373690152155,0,NA,NA,NA,0.030182318169338078,0.0048256841417192095,0
male_58,NA,NA,NA,NA,NA,NA,0.0018059286324198403,0.0063142720514563055,0,NA,NA,NA,0.030977442872598737,0.005210003610212914,0
male_59,NA,NA,NA,NA,NA,NA,0.0019050330395234977,0.006291837476689931,0,NA,NA,NA,0.03181324391103235,0.005591263730854546,0
male_60,NA,NA,NA,NA,NA,NA,0.0020206438084320617,0.00625373470561469,0,NA,NA,NA,0.03268556357829237,0.005963364636443079,0
male_61,NA,NA,NA,NA,NA,NA,0.0021533643857995013,0.006194931087491135,0,NA,NA,NA,0.033593988019006565,0.006320975402191127,0
male_62,NA,NA,NA,NA,NA,NA,0.002304107505954843,0.006111098399746718,0,NA,NA,NA,0.03455988857961918,0.006667907832652457,0
male_63,NA,NA,NA,NA,NA,NA,0.0024734580260286805,0.00600058639332329,0,NA,NA,NA,0.0355865083407789,0.00700537257487656,0
male_64,NA,NA,NA,NA,NA,NA,0.0026613402752399427,0.005858886443111763,0,NA,NA,NA,0.03668991505252908,0.007330617725997092,0
