sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,69,0.20842796308197672,0.010535862580049082,0.0104805547887451,1380405.8887119135,14467.419547351581,1373172.1789382377,19.201954277572753,1086964.698721301,14.083904913066961,5% mortality reduction
female,70,0.21277994192576596,0.011603588365743857,0.01153652637147895,1365938.469164562,15758.185171334555,1358059.3765788947,18.400037152458413,1069091.5812986954,13.437311411663384,5% mortality reduction
female,71,0.21728469657914976,0.012799884137990209,0.012718314021275767,1350180.2839932274,17172.01683716116,1341594.275574647,17.60895154956986,1050086.3704740854,12.802326624792421,5% mortality reduction
female,72,0.22182502983116983,0.01415270452365945,0.014053025796259333,1333008.2671560661,18732.79956497115,1323641.8673735806,16.82935168609879,1030024.9706576507,12.179491326186497,5% mortality reduction
female,73,0.22637073231068397,0.015680919434566603,0.015558613939458565,1314275.467591095,20448.304610351235,1304051.3152859192,16.06209929472781,1008852.2640739351,11.569368851397691,5% mortality reduction
female,74,0.2310036558721577,0.017401372790662166,0.01725084330772697,1293827.1629807437,22319.609655861736,1282667.3581528128,15.308050651957013,986366.5091516307,10.972474376039905,5% mortality reduction
female,75,0.23576983247984692,0.019348927313019584,0.019162938313172062,1271507.553324882,24365.820809097047,1259324.6429203334,14.567986119466944,962413.8828212633,10.389335752772896,5% mortality reduction
female,76,0.240719002788874,0.02156617677042595,0.02133528954373254,1247141.732515785,26608.12996529651,1233837.6675331367,13.842837020527186,936829.4946012098,9.820619967668913,5% mortality reduction
female,77,0.2459049265152589,0.024105370137179203,0.023817156181659693,1220533.6025504884,29069.63943690874,1205998.782832034,13.133716305461311,909437.740762231,9.267156170564036,5% mortality reduction
female,78,0.25139634012242923,0.02706028586676288,0.026697436633032368,1191463.9631135797,31809.03365576641,1175559.4462856965,12.44195691459247,880028.1038931229,8.729964218399724,5% mortality reduction
female,79,0.25717627592207226,0.0305005656748676,0.03004011661487327,1159654.9294578133,34836.16931392535,1142236.8448008506,11.769521692495484,848480.6268339899,8.210554208615154,5% mortality reduction
female,80,0.26316786396655506,0.03443975175469421,0.033853453432818315,1124818.760143888,38078.99951689154,1105779.260385442,11.118544112530964,814773.6944112881,7.710512432827594,5% mortality reduction
female,81,0.26928649693323276,0.03886945056261465,0.03812372664365915,1086739.7606269964,41430.56956693919,1066024.475843527,10.49061436410423,778958.4790985379,7.2309449097749985,5% mortality reduction
female,82,0.2754392555729141,0.04374946319540036,0.042806260304417365,1045309.1910600573,44745.777331116755,1022936.3023944988,9.886589877348044,741179.4887644487,6.772347284231057,5% mortality reduction
female,83,0.2816634359103322,0.04915604954605569,0.04796744614164972,1000563.4137289405,47994.471659348135,976566.1778992665,9.306363631602178,701503.1928383383,6.334448457266802,5% mortality reduction
female,84,0.2880239760367632,0.055217239560677873,0.053720443732113377,952568.9420695924,51172.4262534083,926982.7289428883,8.750065657851913,659989.4776353484,5.91717190296843,5% mortality reduction
female,85,0.2944588298643781,0.06191985243016143,0.06004178086078993,901396.5158161841,54121.45207131489,874335.7897805267,8.2184232219811,616879.8962132059,5.5209051895581505,5% mortality reduction
female,86,0.3009002405800829,0.06921602688981374,0.06687492180517762,847275.0637448692,56661.45363541501,818944.3369271617,7.711453514443904,572523.7889240823,5.14548933676487,5% mortality reduction
female,87,0.30727465576936597,0.07701387620295885,0.07412299413989165,790613.6101094541,58602.647989061654,761312.2861149233,7.2282817523185905,527380.3154659712,4.790103494876114,5% mortality reduction
female,88,0.3134426840464493,0.08539622001698399,0.08185157646222918,732010.9621203925,59916.25123718725,702052.8365017988,6.766928231000018,481999.511086252,4.453130991335923,5% mortality reduction
female,89,0.3194335772240018,0.0944581948381946,0.09013422908325786,672094.7108832052,60578.73863639277,641805.3415650087,6.325615630697873,436791.1654274257,4.132960943375736,5% mortality reduction
female,90,0.3254337689690468,0.10403735083104564,0.09880836346397837,611515.9722468124,60422.89244979115,581304.5260219169,5.90271984825655,392128.4031998392,3.828109372681183,5% mortality reduction
female,91,0.33164456404523346,0.11389506251140129,0.10764840789563013,551093.0797970212,59324.29264244878,521430.93347579683,5.495084318606631,348501.1988635171,3.5362839657145035,5% mortality reduction
female,92,0.3382828334896003,0.12370971278726971,0.1163636880221185,491768.78715457243,57224.02972747026,463156.7722908373,5.097663928437755,306478.78701039526,3.2542130868015033,5% mortality reduction
female,93,0.3454386630151333,0.13296214697796097,0.12450176826458936,434544.7574271022,54101.590689781275,407493.9620822115,4.703117918667923,266729.7926337929,2.9774646079939604,5% mortality reduction
female,94,0.3529935539380757,0.1415791646949521,0.13201354101828466,380443.1667373209,50223.649597203424,355331.34193871915,4.300829706230831,229901.66872218504,2.699777346517304,5% mortality reduction
female,95,0.36085838673220416,0.14995285290470045,0.13925144273732581,330219.5171401175,45983.54418178445,307227.7450492253,3.878904379095732,196362.03661138893,2.4141824849627835,5% mortality reduction
female,96,0.3689354446752444,0.1586102081225449,0.14667108516906735,284235.97295833303,41689.19859788439,263391.37365939084,3.425541728284992,166216.96009474003,2.113906032398054,5% mortality reduction
female,97,0.3771176510882317,0.16821530483181477,0.1548281544882648,242546.77436044865,37553.06945130985,223770.23963479372,2.928386964790265,139382.53248026958,1.7919478785584886,5% mortality reduction
female,98,0.3854040199547803,0.17887837815770383,0.16379240567908848,204993.7049091388,33576.412076137014,188205.49887107027,2.3732464027122484,115670.34302856491,1.4402815218984726,5% mortality reduction
female,99,0.3938724643852659,0.1902173776893978,0.17322060898564162,171417.29283300176,29693.007855202624,156570.78890540043,1.7401690865215376,94901.86642848511,1.0476090205935331,5% mortality reduction
female,100,0.4025269851080556,0.20227515000796487,1,141724.28497779914,141724.28497779914,141724.28497779914,1,84676.43582909075,0.5974730148919444,5% mortality reduction
