sex,age,inc_num_diff_ishd,inc_num_diff_copd,inc_num_diff_dmt2,mx_num_diff_ishd,mx_num_diff_copd,mx_num_diff_dmt2,incidence_disease_sc_ishd,incidence_disease_sc_copd,incidence_disease_sc_dmt2,incidence_disease_bl_ishd,incidence_disease_bl_copd,incidence_disease_bl_dmt2,mx_sc_ishd,mx_sc_copd,mx_sc_dmt2,mx_bl_ishd,mx_bl_copd,mx_bl_dmt2,px_sc_ishd,px_sc_copd,px_sc_dmt2,px_bl_ishd,px_bl_copd,px_bl_dmt2,Lx_sc,ex_sc,Lwx_sc,ewx_sc,Lx_bl,ex_bl,Lwx_bl,ewx_bl,Lx_diff,Lwx_diff,ex_diff,ewx_diff
female,63,-96.92369103109195,9.555294866212535,-278.2491851330542,-17.13993962778477,0.27636464441482644,-6.462011742448794,0.0030554897868488255,0.00498996531767496,0.005956536572562012,0.00312986530125488,0.00498996531767496,0.00618588312561616,5.240977602943832e-4,1.3945135485299897e-4,1.252559857917739e-4,5.367438198050367e-4,1.3945135485299897e-4,1.2992401094113698e-4,0.018793175260184074,0.0337559739412229,0.06103945912791349,0.01924650824950257,0.0337559739412229,0.06331411613660043,1439472.7717084317,24.056307986874483,1168016.7185511286,18.066738385599596,1437490.9720715177,23.824105568150944,1166408.6470723005,17.906877498145665,1981.7996369139291,1608.0714788280893,0.23220241872353853,0.1598608874539309
female,64,-102.65150452699709,11.715105281336946,-264.9937793015879,-19.96636996251425,0.38325684005980065,-7.455708630545445,0.003303190776458772,0.00542219014422306,0.005815234561349068,0.00338359572961485,0.00542219014422306,0.00603914051501857,6.205424882708092e-4,1.705701586337197e-4,1.4671977118939909e-4,6.354999167669781e-4,1.705701586337197e-4,1.5217133998691724e-4,0.021232786321452736,0.038421838563407744,0.06649352023105666,0.02174440220881462,0.038421838563407744,0.06896398034302706,1430345.1277799285,23.1996200328109,1156810.4276311004,17.362764878221196,1428098.2116538621,22.970356216564824,1154993.2046726944,17.205196394825226,2246.916126066353,1817.2229584059678,0.22926381624607473,0.15756848339596985
female,65,-108.35870111633994,14.308743503864207,-249.5533382650192,-23.059804965292187,0.5271028666068673,-8.523129723186315,0.0035662210807753413,0.00590252424139645,0.005619674389040095,0.00365302861274943,0.00590252424139645,0.00583605062289887,7.296521527603625e-4,2.0798907406265486e-4,1.7048023230722823e-4,7.472203281181917e-4,2.0798907406265486e-4,1.7679627874540334e-4,0.023808660752085924,0.043447386370667536,0.07176459548528377,0.024381683418527426,0.043447386370667536,0.07442312695039005,1420379.2440256947,22.351277012969696,1144668.1537362984,16.667301301171964,1417844.9625064256,22.125086403717184,1142625.8038780396,16.512123145398785,2534.281519269105,2042.3498582588509,0.22619060925251233,0.15517815577317862
female,66,-114.0024183903397,17.40390463937365,-232.31356545946892,-26.427902331775385,0.7195220024638616,-9.656820648278426,0.003845868100693241,0.00642980557462169,0.0053740460012217705,0.00393948268895272,0.00642980557462169,0.00558096472174337,8.529439825579482e-4,2.528347970050859e-4,1.965825027128922e-4,8.734575389683287e-4,2.528347970050859e-4,2.0384537424243622e-4,0.02652163518362414,0.0488661900343851,0.07680326248541684,0.027159190551846676,0.0488661900343851,0.07964051210771744,1409487.637490212,21.511974322625214,1131501.0532506674,15.98102252525613,1406641.8187540774,21.289000143611464,1129216.501891969,15.828338328053478,2845.8187361345626,2284.5513586984016,0.22297417901375027,0.15268419720265136
female,67,-119.55454169731092,21.10321579830088,-213.4405391305845,-30.09640809937764,0.9759247697643332,-10.842963342486655,0.004144261684717556,0.0070134065627349,0.005077708390734907,0.00424513965065311,0.0070134065627349,0.00527321712347627,9.928272725366213e-4,3.065932393514012e-4,2.2496280339138813e-4,0.0010166773577000464,3.065932393514012e-4,2.3325238917544692e-4,0.029372151618002926,0.0547082714845058,0.08156490403704085,0.030077358256323874,0.0547082714845058,0.08457010432700701,1397589.1294113582,20.68224673519643,1117226.2311643462,15.304498764843864,1394406.0038739885,20.462636916060156,1114681.6554570808,15.154414722216526,3183.125537369633,2544.5757072654087,0.21960981913627364,0.15008404262733777
female,68,-124.95744030678088,25.51139126758062,-193.45913700160236,-34.07481550205489,1.3150725544876423,-12.07241344189356,0.00446293075840076,0.00765867329306517,0.0047386160697302235,0.00457156563989941,0.00765867329306517,0.0049210686155344,0.0011515838158418338,3.7070658145848547e-4,2.5567125445542094e-4,0.0011792147721374393,3.7070658145848547e-4,2.6506939308004935e-4,0.03236013948559747,0.06100953485469357,0.08600516834019509,0.03313609703342267,0.06100953485469357,0.08916617613533845,1384608.289718593,19.862418923093443,1101682.3548937105,14.638162481521727,1381060.8141131864,19.64632131015109,1098859.7578401521,14.490783578147084,3547.4756054065656,2822.597053558333,0.2160976129423524,0.14737890337464243
female,69,-130.16528390520307,30.74351754610325,-173.02449437015093,-38.373894755473884,1.7606580341531526,-13.32227992687325,0.004804344323790049,0.0083702601099566,0.004369052313088898,0.00492128975820245,0.0083702601099566,0.00453727541990837,0.001332034074700541,4.4685430195613447e-4,2.884908392125843e-4,0.0013639561384832394,4.4685430195613447e-4,2.9907167652586065e-4,0.03548458443562407,0.06780765429623041,0.09008753498321108,0.03633435229161349,0.06780765429623041,0.09339112710954428,1370464.0532926824,19.05269995301078,1084821.022187819,13.982443465065801,1366523.9367346773,18.840259471104655,1081702.1360983045,13.837871264967426,3940.116558005102,3118.8860895144753,0.21244048190612475,0.14457220009837535
female,70,-135.1537360858929,36.94498537674917,-152.5885697736685,-43.01656624219913,2.3426788462468267,-14.583168479269887,0.005172589125905393,0.00915681942263484,0.003977700346946718,0.00529849822850041,0.00915681942263484,0.00413085509594243,0.0015380996208553463,5.37003968026413e-4,3.235179888367527e-4,0.0015749150592858782,5.37003968026413e-4,3.3535965904349786e-4,0.038743874897808867,0.07514087029357026,0.09378716050252009,0.039670459826830616,0.07514087029357026,0.09721944896091997,1355060.0641217139,18.253431436455887,1066730.4623719708,13.337872668464572,1350697.5659173587,18.044792024083215,1063296.2162821896,13.196206813444002,4362.498204355128,3434.246089781169,0.2086394123726727,0.1416658550205696
female,71,-139.8554702496931,44.21143882510296,-132.681118632775,-48.012169954432466,3.100125728270882,-15.84215452055605,0.005571253351062798,0.0100109945796735,0.0035765062037279413,0.00570686657931027,0.0100109945796735,0.00371421363820928,0.0017741499243323505,6.436756088995221e-4,3.6081983980206466e-4,0.0018165634535197523,6.436756088995221e-4,3.740035062595665e-4,0.042136203005887336,0.08305102832163205,0.09708697521479039,0.043142557103577985,0.08305102832163205,0.10063367388444677,1338281.9091441766,17.465096977230267,1047493.7305784189,12.704980767248726,1333465.6232924087,17.260403531089953,1043723.9499365909,12.566320463429488,4816.285851767985,3769.7806418280816,0.2046934461403147,0.138660303819238
female,72,-144.08880097527253,52.694544217420116,-113.89663234885347,-53.32100892158542,4.081060478663062,-17.07587347825222,0.006000519452581741,0.01093755363228289,0.0031808642258034955,0.00614658170515748,0.01093755363228289,0.00330333812267869,0.002043896785383222,7.695201285471757e-4,4.002794960490874e-4,0.002092699610658796,7.695201285471757e-4,4.1488271946850896e-4,0.0456586355793395,0.09156802876679959,0.09998039929026749,0.04674763336073778,0.09156802876679959,0.10362717421863797,1319993.2070762413,16.688353321518704,1027185.6745396125,12.084309599821344,1314689.8234124924,16.487754042680365,1023058.7141152809,11.94875536171494,5303.383663748857,4126.960424331599,0.2005992788383395,0.13555423810640477
female,73,-147.73312754022027,62.59522810819544,-96.42455648194073,-58.958087037550285,5.347766103653839,-18.27037562805026,0.006464007649223086,0.01194815140534868,0.002796594783744384,0.00662135194672488,0.01194815140534868,0.00290427302362886,0.002354563124204361,9.179657462264789e-4,4.420536876514926e-4,0.002410716804693883,9.179657462264789e-4,4.5816045306779356e-4,0.049304614186428695,0.10072073300243409,0.10247436243454859,0.05047897244480312,0.10072073300243409,0.10620727589711088,1300041.752043288,15.92406672396325,1005750.3485987843,11.476424994722871,1294216.0813952957,15.727715935002072,1001243.4392815789,11.344080670001839,5825.670647992287,4506.909317205427,0.19635078896117797,0.13234432472103208
female,74,-150.66497370616162,74.01021190828033,-80.60109532093884,-64.85152639497073,6.969887432516771,-19.406271384074103,0.006966626732324061,0.01303266859610864,0.0024345788780829056,0.00713620558319168,0.01303266859610864,0.00252831829645545,0.002711912423248638,0.0010916738635114145,4.8624239104553174e-4,0.002776514069411009,0.0010916738635114145,5.03941082358879e-4,0.0530636581547585,0.11054200233413738,0.10458029087177033,0.05432585278514916,0.11054200233413738,0.10838593083534553,1278271.1997435428,15.17309713992807,982985.8794066953,10.881843855551224,1271886.6121249497,14.981154031264497,978076.1548692333,10.752815497906232,6384.5876185931265,4909.724537461996,0.19194310866357256,0.12902835764499265
female,75,-152.63741476465475,87.04166130070007,-66.515169199316,-70.92168117984556,9.05158443469304,-20.47776911779772,0.007509259570498608,0.01418517658892153,0.0020995950530151505,0.00769204697360769,0.01418517658892153,0.00218043647526658,0.003123673803775582,0.0012965716172285797,5.333861238910494e-4,0.0031980032871506596,0.0012965716172285797,5.527855336803189e-4,0.05692406157514188,0.12104968054934166,0.10631864247513455,0.058276307687251915,0.12104968054934166,0.11018440540720222,1254515.3757275231,14.436226883853026,958738.4957488527,10.301094331794483,1247534.207611225,14.24885299321222,953403.2764698479,10.175488117403814,6981.1681162980385,5335.219279004843,0.18737389064080645,0.1256062143906682
female,76,-153.4818199054116,101.74805489973733,-54.32159726066902,-77.06357497908539,11.698166694057363,-21.45652808644752,0.008098142810450341,0.01539556015756141,0.0017993921644180464,0.00829526457464452,0.01539556015756141,0.00186867477277185,0.0035996530711005026,0.0015359708640756411,5.835944584214681e-4,0.0036852234448837167,0.0015359708640756411,6.04808101415709e-4,0.06086723197000515,0.13224766171050192,0.10771303831860617,0.062311336869072705,0.13224766171050192,0.11162721248767205,1228588.1451483467,13.714390325772452,932843.6320100043,9.734844394573063,1220972.0067386527,13.53175104977861,927060.8428433938,9.612767573982145,7616.138409693958,5782.789166610455,0.1826392759938429,0.12207682059091773
female,77,-152.89855883236487,118.15125063191954,-43.88231843229096,-83.03491837005276,15.057733935797387,-22.311849740986986,0.008735190620430294,0.01665278338883001,0.001533136923653161,0.00894781914847374,0.01665278338883001,0.00159216781593704,0.004147315729709439,0.0018164287389345324,6.370421971622202e-4,0.004245819021971041,0.0018164287389345324,6.601906521760561e-4,0.06487058937764956,0.14412520768764736,0.10879334202687,0.06640787602950818,0.14412520768764736,0.11274529668598131,1200281.5275931587,13.00870487486577,905126.3867527404,9.183925080984054,1191991.781007983,12.830971427660678,898875.1296924225,9.065487232858926,8289.746585175628,6251.257060317905,0.17773344720509243,0.11843784812512759
female,78,-150.6547190733345,136.21888632067567,-35.130799359907996,-88.56263578969356,19.306337724315654,-23.01964387737496,0.009428892637651095,0.01794308317407442,0.001302610327970727,0.00965840698367285,0.01794308317407442,0.0013527651763551,0.004777374607281679,0.002144694335173566,6.942870807805498e-4,0.004890761679376005,0.002144694335173566,7.195119516703245e-4,0.06890596891143422,0.15665405572727634,0.10958802629454413,0.07053716344317038,0.15665405572727634,0.11356814468596799,1169346.8430361045,12.320509794190817,875377.326363111,8.64935934883868,1160344.9366069753,12.147861804819156,868638.4662643895,8.534674075837387,9001.906429129187,6738.860098721576,0.17264798937166148,0.11468527300129239
female,79,-146.2794968739854,155.91861636934482,-27.886006105164597,-93.27948945385742,24.629615557007128,-23.542180267422737,0.010176651750161034,0.0192588947237358,0.0011057991515168056,0.01042436775042628,0.0192588947237358,0.00114837611225248,0.005502084723726475,0.0025256923500810565,7.557514746341092e-4,0.005632605503973246,0.0025256923500810565,7.832104895357405e-4,0.07294233763195841,0.1697871925127368,0.11012624833057744,0.07466752168083696,0.1697871925127368,0.11412593570713069,1135501.7194619298,11.651780964731852,843477.615947601,8.132665144501475,1125750.0901487963,11.484415992996226,836233.8743453918,8.021856820577426,9751.629313133424,7243.74160220928,0.16736497173562626,0.11080832392404893
female,80,-139.41268596013288,176.9613728085933,-21.966077400597783,-96.69207007505884,31.252078683023228,-23.82050974566903,0.010982331117340583,0.02057142567167106,9.403353145095274e-4,0.0112496586436002,0.02057142567167106,9.765413648662514e-4,0.0063334440224791285,0.0029664604226209935,8.213285320833124e-4,0.006483647662338308,0.0029664604226209935,8.511763878896039e-4,0.07693427080323458,0.18346700749909575,0.11043468610223209,0.07875257630752656,0.18346700749909575,0.11444627375515252,1098496.7623977498,11.00466658228001,809407.7158633575,7.635437587187508,1087961.6214450144,10.842802468017835,801645.0854517401,7.528642725521711,10535.14095273544,7762.630411617458,0.1618641142621744,0.10679486166579721
female,81,-129.84276541281542,199.0475616708609,-17.152060269591402,-98.19615306798187,39.42861049801468,-23.811143264533825,0.011861144582671871,0.02186689110482925,8.017239144746951e-4,0.01214986383599021,0.02186689110482925,8.325929629638515e-4,0.007282716225409931,0.0034755887564730525,8.91391804899196e-4,0.007455441886772541,0.0034755887564730525,9.237977042389321e-4,0.08082801355334694,0.19760773980108592,0.11053777475210386,0.08273745550302493,0.19760773980108592,0.1145544341198279,1058174.9689146015,10.380765984684203,773222.7383931561,7.1587871931647005,1046830.5282282338,10.224632884546542,764933.2023988871,7.056148261558208,11344.440686367685,8289.535994268954,0.15613310013766046,0.10263893160649218
