sex,age,pyld_rate,mx,qx,lx,dx,Lx,ex,Lwx,ewx,label
female,64,0.1912368524465053,0.00686236947130444,0.006838877182229752,1432998.2612092416,9800.099110758792,1428098.2116538621,22.970356216564824,1154993.2046726944,17.205196394825226,Reference (no trend)
female,65,0.19411089781061924,0.00755121352557207,0.0075227747401864775,1423198.1620984827,10706.399184114285,1417844.9625064256,22.125086403717184,1142625.8038780396,16.512123145398785,Reference (no trend)
female,66,0.1972252731031669,0.00831765103070766,0.008283155079391147,1412491.7629143684,11699.888320582306,1406641.8187540774,21.289000143611464,1129216.501891969,15.828338328053478,Reference (no trend)
female,67,0.20060466438022187,0.00915933429196861,0.009117515364871043,1400791.8745937862,12771.741439595356,1394406.0038739885,20.462636916060156,1114681.6554570808,15.154414722216526,Reference (no trend)
female,68,0.20433644441229243,0.01007830774133733,0.010027691781659964,1388020.1331541908,13918.638082008849,1381060.8141131864,19.64632131015109,1098859.7578401521,14.490783578147084,Reference (no trend)
female,69,0.20842796308197672,0.01109038166320956,0.01102911009802321,1374101.495072182,15155.116675009393,1366523.9367346773,18.840259471104655,1081702.1360983045,13.837871264967426,Reference (no trend)
female,70,0.21277994192576596,0.01221430354288827,0.012140011719289245,1358946.3783971725,16497.624959627352,1350697.5659173587,18.044792024083215,1063296.2162821896,13.196206813444002,Reference (no trend)
female,71,0.21728469657914976,0.01347356225051601,0.013383200099272075,1342448.7534375452,17966.26029027303,1333465.6232924087,17.260403531089953,1043723.9499365909,12.566320463429488,Reference (no trend)
female,72,0.22182502983116983,0.01489758370911521,0.014787163719333307,1324482.4931472722,19585.33946955947,1314689.8234124924,16.487754042680365,1023058.7141152809,11.94875536171494,Reference (no trend)
female,73,0.22637073231068397,0.01650623098375432,0.016370749606301915,1304897.1536777127,21362.144564833903,1294216.0813952957,15.727715935002072,1001243.4392815789,11.344080670001839,Reference (no trend)
female,74,0.2310036558721577,0.01831723451648649,0.018150493605904372,1283535.0091128787,23296.793975857716,1271886.6121249497,14.981154031264497,978076.1548692333,10.752815497906232,Reference (no trend)
female,75,0.23576983247984692,0.02036729190844167,0.020161279626669026,1260238.215137021,25408.015051591756,1247534.207611225,14.24885299321222,953403.2764698479,10.175488117403814,Reference (no trend)
female,76,0.240719002788874,0.02270123870571153,0.022445504403468153,1234830.2000854292,27716.386693552962,1220972.0067386527,13.53175104977861,927060.8428433938,9.612767573982145,Reference (no trend)
female,77,0.2459049265152589,0.02537407382860969,0.02505485765489124,1207113.8133918762,30244.064767786404,1191991.781007983,12.830971427660678,898875.1296924225,9.065487232858926,Reference (no trend)
female,78,0.25139634012242923,0.02848451143869777,0.02808265236902263,1176869.7486240899,33049.62403422937,1160344.9366069753,12.147861804819156,868638.4662643895,8.534674075837387,Reference (no trend)
female,79,0.25717627592207226,0.03210585860512379,0.03159593725026222,1143820.1245898604,36140.06888212834,1125750.0901487963,11.484415992996226,836233.8743453918,8.021856820577426,Reference (no trend)
